age,gender,province,mother_tongue,family_income,level_studies,question,value,phoneme
28,female,Girona,cat_cast,1,uni,T4_2_8,97,z
28,female,Girona,cat_cast,1,uni,T4_2_9,90,z
28,female,Girona,cat_cast,1,uni,T4_2_10,79,z
28,female,Girona,cat_cast,1,uni,T4_2_11,77,z
28,female,Girona,cat_cast,1,uni,T5_2_1,71,z
28,female,Girona,cat_cast,1,uni,T5_2_2,77,z
28,female,Girona,cat_cast,1,uni,T5_2_3,84,z
28,female,Girona,cat_cast,1,uni,T5_2_4,69,z
28,female,Girona,cat_cast,1,uni,T5_2_5,62,z
28,female,Girona,cat_cast,1,uni,T5_2_6,58,z
28,female,Girona,cat_cast,1,uni,T5_2_7,68,z
28,female,Girona,cat_cast,1,uni,T5_2_8,65,z
28,female,Girona,cat_cast,1,uni,T5_2_9,66,z
28,female,Girona,cat_cast,1,uni,T5_2_10,75,z
28,female,Girona,cat_cast,1,uni,T5_2_11,66,z
28,female,Girona,cat_cast,1,uni,T6_2_1,80,z
28,female,Girona,cat_cast,1,uni,T6_2_2,77,z
28,female,Girona,cat_cast,1,uni,T6_2_3,89,z
28,female,Girona,cat_cast,1,uni,T6_2_4,89,z
28,female,Girona,cat_cast,1,uni,T6_2_5,93,z
28,female,Girona,cat_cast,1,uni,T6_2_6,72,z
28,female,Girona,cat_cast,1,uni,T6_2_7,77,z
28,female,Girona,cat_cast,1,uni,T6_2_8,86,z
28,female,Girona,cat_cast,1,uni,T6_2_9,92,z
28,female,Girona,cat_cast,1,uni,T6_2_10,83,z
28,female,Girona,cat_cast,1,uni,T6_2_11,74,z
28,female,Girona,cat_cast,1,uni,T7_2_1,95,s
28,female,Girona,cat_cast,1,uni,T7_2_2,59,s
28,female,Girona,cat_cast,1,uni,T7_2_3,70,s
28,female,Girona,cat_cast,1,uni,T7_2_4,67,s
28,female,Girona,cat_cast,1,uni,T7_2_5,70,s
28,female,Girona,cat_cast,1,uni,T7_2_6,71,s
28,female,Girona,cat_cast,1,uni,T7_2_7,84,s
28,female,Girona,cat_cast,1,uni,T7_2_8,84,s
28,female,Girona,cat_cast,1,uni,T7_2_9,83,s
28,female,Girona,cat_cast,1,uni,T7_2_10,81,s
28,female,Girona,cat_cast,1,uni,T7_2_11,75,s
28,female,Girona,cat_cast,1,uni,T8_2_1,66,s
28,female,Girona,cat_cast,1,uni,T8_2_2,66,s
28,female,Girona,cat_cast,1,uni,T8_2_3,62,s
28,female,Girona,cat_cast,1,uni,T8_2_4,54,s
28,female,Girona,cat_cast,1,uni,T8_2_5,50,s
28,female,Girona,cat_cast,1,uni,T8_2_6,57,s
28,female,Girona,cat_cast,1,uni,T8_2_7,53,s
28,female,Girona,cat_cast,1,uni,T8_2_8,61,s
28,female,Girona,cat_cast,1,uni,T8_2_9,66,s
28,female,Girona,cat_cast,1,uni,T8_2_10,73,s
28,female,Girona,cat_cast,1,uni,T8_2_11,65,s
28,female,Girona,cat_cast,1,uni,T9_2_1,75,s
28,female,Girona,cat_cast,1,uni,T9_2_2,61,s
28,female,Girona,cat_cast,1,uni,T9_2_3,69,s
28,female,Girona,cat_cast,1,uni,T9_2_4,72,s
28,female,Girona,cat_cast,1,uni,T9_2_5,75,s
28,female,Girona,cat_cast,1,uni,T9_2_6,56,s
28,female,Girona,cat_cast,1,uni,T9_2_7,80,s
28,female,Girona,cat_cast,1,uni,T9_2_8,77,s
28,female,Girona,cat_cast,1,uni,T9_2_9,77,s
28,female,Girona,cat_cast,1,uni,T9_2_10,76,s
28,female,Girona,cat_cast,1,uni,T9_2_11,76,s
28,female,Girona,cat_cast,1,uni,T10_2_1,100,s
28,female,Girona,cat_cast,1,uni,T10_2_2,100,s
28,female,Girona,cat_cast,1,uni,T10_2_3,95,s
28,female,Girona,cat_cast,1,uni,T10_2_4,81,s
28,female,Girona,cat_cast,1,uni,T10_2_5,91,s
28,female,Girona,cat_cast,1,uni,T10_2_6,58,s
28,female,Girona,cat_cast,1,uni,T10_2_7,51,s
28,female,Girona,cat_cast,1,uni,T10_2_8,94,s
28,female,Girona,cat_cast,1,uni,T10_2_9,85,s
28,female,Girona,cat_cast,1,uni,T10_2_10,93,s
28,female,Girona,cat_cast,1,uni,T10_2_11,92,s
28,female,Girona,cat_cast,1,uni,T11_2_1,62,s
28,female,Girona,cat_cast,1,uni,T11_2_2,70,s
28,female,Girona,cat_cast,1,uni,T11_2_3,70,s
28,female,Girona,cat_cast,1,uni,T11_2_4,70,s
28,female,Girona,cat_cast,1,uni,T11_2_5,70,s
28,female,Girona,cat_cast,1,uni,T11_2_6,64,s
28,female,Girona,cat_cast,1,uni,T11_2_7,74,s
28,female,Girona,cat_cast,1,uni,T11_2_8,75,s
28,female,Girona,cat_cast,1,uni,T11_2_9,73,s
28,female,Girona,cat_cast,1,uni,T11_2_10,70,s
28,female,Girona,cat_cast,1,uni,T11_2_11,71,s
28,female,Girona,cat_cast,1,uni,T12_2_1,78,s
28,female,Girona,cat_cast,1,uni,T12_2_2,69,s
28,female,Girona,cat_cast,1,uni,T12_2_3,69,s
28,female,Girona,cat_cast,1,uni,T12_2_4,67,s
28,female,Girona,cat_cast,1,uni,T12_2_5,79,s
28,female,Girona,cat_cast,1,uni,T12_2_6,58,s
28,female,Girona,cat_cast,1,uni,T12_2_7,88,s
28,female,Girona,cat_cast,1,uni,T12_2_8,80,s
28,female,Girona,cat_cast,1,uni,T12_2_9,73,s
28,female,Girona,cat_cast,1,uni,T12_2_10,73,s
28,female,Girona,cat_cast,1,uni,T12_2_11,76,s
35,female,Girona,cat,4,uni,T1_2_1,80,z
35,female,Girona,cat,4,uni,T1_2_2,90,z
35,female,Girona,cat,4,uni,T1_2_3,84,z
35,female,Girona,cat,4,uni,T1_2_4,56,z
35,female,Girona,cat,4,uni,T1_2_5,57,z
35,female,Girona,cat,4,uni,T1_2_6,57,z
35,female,Girona,cat,4,uni,T1_2_7,1,z
35,female,Girona,cat,4,uni,T1_2_8,100,z
35,female,Girona,cat,4,uni,T1_2_9,100,z
35,female,Girona,cat,4,uni,T1_2_10,87,z
35,female,Girona,cat,4,uni,T1_2_11,87,z
35,female,Girona,cat,4,uni,T2_2_1,83,z
35,female,Girona,cat,4,uni,T2_2_2,84,z
35,female,Girona,cat,4,uni,T2_2_3,88,z
35,female,Girona,cat,4,uni,T2_2_4,50,z
35,female,Girona,cat,4,uni,T2_2_5,51,z
35,female,Girona,cat,4,uni,T2_2_6,76,z
35,female,Girona,cat,4,uni,T2_2_7,9,z
35,female,Girona,cat,4,uni,T2_2_8,100,z
35,female,Girona,cat,4,uni,T2_2_9,100,z
35,female,Girona,cat,4,uni,T2_2_10,88,z
35,female,Girona,cat,4,uni,T2_2_11,96,z
35,female,Girona,cat,4,uni,T3_2_1,69,z
35,female,Girona,cat,4,uni,T3_2_2,65,z
35,female,Girona,cat,4,uni,T3_2_3,47,z
35,female,Girona,cat,4,uni,T3_2_4,63,z
35,female,Girona,cat,4,uni,T3_2_5,57,z
35,female,Girona,cat,4,uni,T3_2_6,57,z
35,female,Girona,cat,4,uni,T3_2_7,60,z
35,female,Girona,cat,4,uni,T3_2_8,100,z
35,female,Girona,cat,4,uni,T3_2_9,90,z
35,female,Girona,cat,4,uni,T3_2_10,75,z
35,female,Girona,cat,4,uni,T3_2_11,69,z
35,female,Girona,cat,4,uni,T4_2_1,87,z
35,female,Girona,cat,4,uni,T4_2_2,84,z
35,female,Girona,cat,4,uni,T4_2_3,83,z
35,female,Girona,cat,4,uni,T4_2_4,48,z
35,female,Girona,cat,4,uni,T4_2_5,52,z
35,female,Girona,cat,4,uni,T4_2_6,51,z
35,female,Girona,cat,4,uni,T4_2_7,48,z
35,female,Girona,cat,4,uni,T4_2_8,100,z
35,female,Girona,cat,4,uni,T4_2_9,100,z
35,female,Girona,cat,4,uni,T4_2_10,79,z
35,female,Girona,cat,4,uni,T4_2_11,59,z
35,female,Girona,cat,4,uni,T5_2_1,50,z
35,female,Girona,cat,4,uni,T5_2_2,58,z
35,female,Girona,cat,4,uni,T5_2_3,34,z
35,female,Girona,cat,4,uni,T5_2_4,51,z
35,female,Girona,cat,4,uni,T5_2_5,44,z
35,female,Girona,cat,4,uni,T5_2_6,52,z
35,female,Girona,cat,4,uni,T5_2_7,47,z
35,female,Girona,cat,4,uni,T5_2_8,61,z
35,female,Girona,cat,4,uni,T5_2_9,64,z
35,female,Girona,cat,4,uni,T5_2_10,61,z
35,female,Girona,cat,4,uni,T5_2_11,64,z
35,female,Girona,cat,4,uni,T6_2_1,52,z
35,female,Girona,cat,4,uni,T6_2_2,60,z
35,female,Girona,cat,4,uni,T6_2_3,51,z
35,female,Girona,cat,4,uni,T6_2_4,54,z
35,female,Girona,cat,4,uni,T6_2_5,54,z
35,female,Girona,cat,4,uni,T6_2_6,50,z
35,female,Girona,cat,4,uni,T6_2_7,62,z
35,female,Girona,cat,4,uni,T6_2_8,54,z
35,female,Girona,cat,4,uni,T6_2_9,55,z
35,female,Girona,cat,4,uni,T6_2_10,53,z
35,female,Girona,cat,4,uni,T6_2_11,49,z
35,female,Girona,cat,4,uni,T7_2_1,47,s
35,female,Girona,cat,4,uni,T7_2_2,52,s
35,female,Girona,cat,4,uni,T7_2_3,48,s
35,female,Girona,cat,4,uni,T7_2_4,56,s
35,female,Girona,cat,4,uni,T7_2_5,49,s
35,female,Girona,cat,4,uni,T7_2_6,54,s
35,female,Girona,cat,4,uni,T7_2_7,58,s
35,female,Girona,cat,4,uni,T7_2_8,48,s
35,female,Girona,cat,4,uni,T7_2_9,32,s
35,female,Girona,cat,4,uni,T7_2_10,74,s
35,female,Girona,cat,4,uni,T7_2_11,78,s
35,female,Girona,cat,4,uni,T8_2_1,55,s
35,female,Girona,cat,4,uni,T8_2_2,53,s
35,female,Girona,cat,4,uni,T8_2_3,54,s
35,female,Girona,cat,4,uni,T8_2_4,59,s
35,female,Girona,cat,4,uni,T8_2_5,58,s
35,female,Girona,cat,4,uni,T8_2_6,57,s
35,female,Girona,cat,4,uni,T8_2_7,58,s
35,female,Girona,cat,4,uni,T8_2_8,77,s
35,female,Girona,cat,4,uni,T8_2_9,81,s
35,female,Girona,cat,4,uni,T8_2_10,73,s
35,female,Girona,cat,4,uni,T8_2_11,60,s
35,female,Girona,cat,4,uni,T9_2_1,61,s
35,female,Girona,cat,4,uni,T9_2_2,60,s
35,female,Girona,cat,4,uni,T9_2_3,58,s
35,female,Girona,cat,4,uni,T9_2_4,65,s
35,female,Girona,cat,4,uni,T9_2_5,69,s
35,female,Girona,cat,4,uni,T9_2_6,49,s
35,female,Girona,cat,4,uni,T9_2_7,53,s
35,female,Girona,cat,4,uni,T9_2_8,47,s
35,female,Girona,cat,4,uni,T9_2_9,47,s
35,female,Girona,cat,4,uni,T9_2_10,61,s
35,female,Girona,cat,4,uni,T9_2_11,60,s
35,female,Girona,cat,4,uni,T10_2_1,51,s
35,female,Girona,cat,4,uni,T10_2_2,52,s
35,female,Girona,cat,4,uni,T10_2_3,60,s
35,female,Girona,cat,4,uni,T10_2_4,61,s
35,female,Girona,cat,4,uni,T10_2_5,57,s
35,female,Girona,cat,4,uni,T10_2_6,55,s
35,female,Girona,cat,4,uni,T10_2_7,58,s
35,female,Girona,cat,4,uni,T10_2_8,64,s
35,female,Girona,cat,4,uni,T10_2_9,70,s
35,female,Girona,cat,4,uni,T10_2_10,69,s
35,female,Girona,cat,4,uni,T10_2_11,73,s
35,female,Girona,cat,4,uni,T11_2_1,44,s
35,female,Girona,cat,4,uni,T11_2_2,39,s
35,female,Girona,cat,4,uni,T11_2_3,41,s
35,female,Girona,cat,4,uni,T11_2_4,44,s
35,female,Girona,cat,4,uni,T11_2_5,42,s
35,female,Girona,cat,4,uni,T11_2_6,39,s
35,female,Girona,cat,4,uni,T11_2_7,56,s
35,female,Girona,cat,4,uni,T11_2_8,23,s
35,female,Girona,cat,4,uni,T11_2_9,25,s
35,female,Girona,cat,4,uni,T11_2_10,70,s
35,female,Girona,cat,4,uni,T11_2_11,68,s
35,female,Girona,cat,4,uni,T12_2_1,46,s
35,female,Girona,cat,4,uni,T12_2_2,48,s
35,female,Girona,cat,4,uni,T12_2_3,53,s
35,female,Girona,cat,4,uni,T12_2_4,60,s
35,female,Girona,cat,4,uni,T12_2_5,55,s
35,female,Girona,cat,4,uni,T12_2_6,59,s
35,female,Girona,cat,4,uni,T12_2_7,52,s
35,female,Girona,cat,4,uni,T12_2_8,64,s
35,female,Girona,cat,4,uni,T12_2_9,47,s
35,female,Girona,cat,4,uni,T12_2_10,70,s
35,female,Girona,cat,4,uni,T12_2_11,68,s
57,male,Girona,cat,5,uni,T1._1,50,z
57,male,Girona,cat,5,uni,T1._2,50,z
57,male,Girona,cat,5,uni,T1._3,51,z
57,male,Girona,cat,5,uni,T1._4,44,z
57,male,Girona,cat,5,uni,T1._5,50,z
57,male,Girona,cat,5,uni,T1._6,45,z
57,male,Girona,cat,5,uni,T1._7,49,z
57,male,Girona,cat,5,uni,T1._8,85,z
57,male,Girona,cat,5,uni,T1._9,86,z
57,male,Girona,cat,5,uni,T1._10,49,z
57,male,Girona,cat,5,uni,T1._11,11,z
57,male,Girona,cat,5,uni,T2_1,49,z
57,male,Girona,cat,5,uni,T2_2,47,z
57,male,Girona,cat,5,uni,T2_3,49,z
57,male,Girona,cat,5,uni,T2_4,50,z
57,male,Girona,cat,5,uni,T2_5,47,z
57,male,Girona,cat,5,uni,T2_6,50,z
57,male,Girona,cat,5,uni,T2_7,51,z
57,male,Girona,cat,5,uni,T2_8,86,z
57,male,Girona,cat,5,uni,T2_9,79,z
57,male,Girona,cat,5,uni,T2_10,52,z
57,male,Girona,cat,5,uni,T2_11,18,z
57,male,Girona,cat,5,uni,T3._1,52,z
57,male,Girona,cat,5,uni,T3._2,50,z
57,male,Girona,cat,5,uni,T3._3,50,z
57,male,Girona,cat,5,uni,T3._4,49,z
57,male,Girona,cat,5,uni,T3._5,51,z
57,male,Girona,cat,5,uni,T3._6,52,z
57,male,Girona,cat,5,uni,T3._7,52,z
57,male,Girona,cat,5,uni,T3._8,82,z
57,male,Girona,cat,5,uni,T3._9,81,z
57,male,Girona,cat,5,uni,T3._10,40,z
57,male,Girona,cat,5,uni,T3._11,20,z
57,male,Girona,cat,5,uni,T4._1,53,z
57,male,Girona,cat,5,uni,T4._2,53,z
57,male,Girona,cat,5,uni,T4._3,47,z
57,male,Girona,cat,5,uni,T4._4,50,z
57,male,Girona,cat,5,uni,T4._5,49,z
57,male,Girona,cat,5,uni,T4._6,51,z
57,male,Girona,cat,5,uni,T4._7,49,z
57,male,Girona,cat,5,uni,T4._8,92,z
57,male,Girona,cat,5,uni,T4._9,87,z
57,male,Girona,cat,5,uni,T4._10,46,z
57,male,Girona,cat,5,uni,T4._11,47,z
57,male,Girona,cat,5,uni,T5._1,50,z
57,male,Girona,cat,5,uni,T5._2,54,z
57,male,Girona,cat,5,uni,T5._3,45,z
57,male,Girona,cat,5,uni,T5._4,49,z
57,male,Girona,cat,5,uni,T5._5,60,z
57,male,Girona,cat,5,uni,T5._6,56,z
57,male,Girona,cat,5,uni,T5._7,56,z
57,male,Girona,cat,5,uni,T5._8,57,z
57,male,Girona,cat,5,uni,T5._9,85,z
57,male,Girona,cat,5,uni,T5._10,89,z
57,male,Girona,cat,5,uni,T5._11,54,z
57,male,Girona,cat,5,uni,T6_1,53,z
57,male,Girona,cat,5,uni,T6_2,52,z
57,male,Girona,cat,5,uni,T6_3,49,z
57,male,Girona,cat,5,uni,T6_4,55,z
57,male,Girona,cat,5,uni,T6_5,49,z
57,male,Girona,cat,5,uni,T6_6,48,z
57,male,Girona,cat,5,uni,T6_7,56,z
57,male,Girona,cat,5,uni,T6_8,90,z
57,male,Girona,cat,5,uni,T6_9,86,z
57,male,Girona,cat,5,uni,T6_10,76,z
57,male,Girona,cat,5,uni,T6_11,49,z
57,male,Girona,cat,5,uni,T7_1,50,s
57,male,Girona,cat,5,uni,T7_2,49,s
57,male,Girona,cat,5,uni,T7_3,57,s
57,male,Girona,cat,5,uni,T7_4,54,s
57,male,Girona,cat,5,uni,T7_5,52,s
57,male,Girona,cat,5,uni,T7_6,55,s
57,male,Girona,cat,5,uni,T7_7,53,s
57,male,Girona,cat,5,uni,T7_8,81,s
57,male,Girona,cat,5,uni,T7_9,75,s
57,male,Girona,cat,5,uni,T7_10,57,s
57,male,Girona,cat,5,uni,T7_11,59,s
57,male,Girona,cat,5,uni,T8_1,56,s
57,male,Girona,cat,5,uni,T8_2,57,s
57,male,Girona,cat,5,uni,T8_3,54,s
57,male,Girona,cat,5,uni,T8_4,50,s
57,male,Girona,cat,5,uni,T8_5,51,s
57,male,Girona,cat,5,uni,T8_6,52,s
57,male,Girona,cat,5,uni,T8_7,57,s
57,male,Girona,cat,5,uni,T8_8,89,s
57,male,Girona,cat,5,uni,T8_9,83,s
57,male,Girona,cat,5,uni,T8_10,52,s
57,male,Girona,cat,5,uni,T8_11,48,s
57,male,Girona,cat,5,uni,T9_1,49,s
57,male,Girona,cat,5,uni,T9_2,54,s
57,male,Girona,cat,5,uni,T9_3,51,s
57,male,Girona,cat,5,uni,T9_4,48,s
57,male,Girona,cat,5,uni,T9_5,49,s
57,male,Girona,cat,5,uni,T9_6,52,s
57,male,Girona,cat,5,uni,T9_7,57,s
57,male,Girona,cat,5,uni,T9_8,91,s
57,male,Girona,cat,5,uni,T9_9,85,s
57,male,Girona,cat,5,uni,T9_10,89,s
57,male,Girona,cat,5,uni,T9_11,53,s
57,male,Girona,cat,5,uni,T10_1,50,s
57,male,Girona,cat,5,uni,T10_2,50,s
57,male,Girona,cat,5,uni,T10_3,48,s
57,male,Girona,cat,5,uni,T10_4,58,s
57,male,Girona,cat,5,uni,T10_5,54,s
57,male,Girona,cat,5,uni,T10_6,40,s
57,male,Girona,cat,5,uni,T10_7,37,s
57,male,Girona,cat,5,uni,T10_8,89,s
57,male,Girona,cat,5,uni,T10_9,77,s
57,male,Girona,cat,5,uni,T10_10,47,s
57,male,Girona,cat,5,uni,T10_11,38,s
57,male,Girona,cat,5,uni,T11_1,53,s
57,male,Girona,cat,5,uni,T11_2,55,s
57,male,Girona,cat,5,uni,T11_3,55,s
57,male,Girona,cat,5,uni,T11_4,56,s
57,male,Girona,cat,5,uni,T11_5,52,s
57,male,Girona,cat,5,uni,T11_6,55,s
57,male,Girona,cat,5,uni,T11_7,58,s
57,male,Girona,cat,5,uni,T11_8,88,s
57,male,Girona,cat,5,uni,T11_9,82,s
57,male,Girona,cat,5,uni,T11_10,54,s
57,male,Girona,cat,5,uni,T11_11,48,s
57,male,Girona,cat,5,uni,T12_1,57,s
57,male,Girona,cat,5,uni,T12_2,55,s
57,male,Girona,cat,5,uni,T12_3,50,s
57,male,Girona,cat,5,uni,T12_4,50,s
57,male,Girona,cat,5,uni,T12_5,54,s
57,male,Girona,cat,5,uni,T12_6,53,s
57,male,Girona,cat,5,uni,T12_7,47,s
57,male,Girona,cat,5,uni,T12_8,82,s
57,male,Girona,cat,5,uni,T12_9,71,s
57,male,Girona,cat,5,uni,T12_10,56,s
57,male,Girona,cat,5,uni,T12_11,54,s
33,female,Barcelona,cat,4,uni,T1_2_1,94,z
33,female,Barcelona,cat,4,uni,T1_2_2,81,z
33,female,Barcelona,cat,4,uni,T1_2_3,80,z
33,female,Barcelona,cat,4,uni,T1_2_4,100,z
33,female,Barcelona,cat,4,uni,T1_2_5,100,z
33,female,Barcelona,cat,4,uni,T1_2_6,100,z
33,female,Barcelona,cat,4,uni,T1_2_7,85,z
33,female,Barcelona,cat,4,uni,T1_2_8,100,z
33,female,Barcelona,cat,4,uni,T1_2_9,100,z
33,female,Barcelona,cat,4,uni,T1_2_10,100,z
33,female,Barcelona,cat,4,uni,T1_2_11,100,z
33,female,Barcelona,cat,4,uni,T2_2_1,75,z
33,female,Barcelona,cat,4,uni,T2_2_2,62,z
33,female,Barcelona,cat,4,uni,T2_2_3,89,z
33,female,Barcelona,cat,4,uni,T2_2_4,100,z
33,female,Barcelona,cat,4,uni,T2_2_5,100,z
33,female,Barcelona,cat,4,uni,T2_2_6,100,z
33,female,Barcelona,cat,4,uni,T2_2_7,100,z
33,female,Barcelona,cat,4,uni,T2_2_8,99,z
33,female,Barcelona,cat,4,uni,T2_2_9,100,z
33,female,Barcelona,cat,4,uni,T2_2_10,100,z
33,female,Barcelona,cat,4,uni,T2_2_11,100,z
33,female,Barcelona,cat,4,uni,T3_2_1,93,z
33,female,Barcelona,cat,4,uni,T3_2_2,63,z
33,female,Barcelona,cat,4,uni,T3_2_3,97,z
33,female,Barcelona,cat,4,uni,T3_2_4,100,z
33,female,Barcelona,cat,4,uni,T3_2_5,100,z
33,female,Barcelona,cat,4,uni,T3_2_6,91,z
33,female,Barcelona,cat,4,uni,T3_2_7,73,z
33,female,Barcelona,cat,4,uni,T3_2_8,100,z
33,female,Barcelona,cat,4,uni,T3_2_9,100,z
33,female,Barcelona,cat,4,uni,T3_2_10,100,z
33,female,Barcelona,cat,4,uni,T3_2_11,100,z
33,female,Barcelona,cat,4,uni,T4_2_1,100,z
33,female,Barcelona,cat,4,uni,T4_2_2,67,z
33,female,Barcelona,cat,4,uni,T4_2_3,100,z
33,female,Barcelona,cat,4,uni,T4_2_4,100,z
33,female,Barcelona,cat,4,uni,T4_2_5,100,z
33,female,Barcelona,cat,4,uni,T4_2_6,100,z
33,female,Barcelona,cat,4,uni,T4_2_7,53,z
33,female,Barcelona,cat,4,uni,T4_2_8,100,z
33,female,Barcelona,cat,4,uni,T4_2_9,100,z
33,female,Barcelona,cat,4,uni,T4_2_10,100,z
33,female,Barcelona,cat,4,uni,T4_2_11,100,z
33,female,Barcelona,cat,4,uni,T5_2_1,63,z
33,female,Barcelona,cat,4,uni,T5_2_2,54,z
33,female,Barcelona,cat,4,uni,T5_2_3,62,z
33,female,Barcelona,cat,4,uni,T5_2_4,92,z
33,female,Barcelona,cat,4,uni,T5_2_5,85,z
33,female,Barcelona,cat,4,uni,T5_2_6,94,z
33,female,Barcelona,cat,4,uni,T5_2_7,100,z
33,female,Barcelona,cat,4,uni,T5_2_8,100,z
33,female,Barcelona,cat,4,uni,T5_2_9,100,z
33,female,Barcelona,cat,4,uni,T5_2_10,100,z
33,female,Barcelona,cat,4,uni,T5_2_11,100,z
33,female,Barcelona,cat,4,uni,T6_2_1,100,z
33,female,Barcelona,cat,4,uni,T6_2_2,4,z
33,female,Barcelona,cat,4,uni,T6_2_3,73,z
33,female,Barcelona,cat,4,uni,T6_2_4,75,z
33,female,Barcelona,cat,4,uni,T6_2_5,100,z
33,female,Barcelona,cat,4,uni,T6_2_6,92,z
33,female,Barcelona,cat,4,uni,T6_2_7,90,z
33,female,Barcelona,cat,4,uni,T6_2_8,72,z
33,female,Barcelona,cat,4,uni,T6_2_9,100,z
33,female,Barcelona,cat,4,uni,T6_2_10,100,z
33,female,Barcelona,cat,4,uni,T6_2_11,100,z
33,female,Barcelona,cat,4,uni,T7_2_1,100,s
33,female,Barcelona,cat,4,uni,T7_2_2,81,s
33,female,Barcelona,cat,4,uni,T7_2_3,100,s
33,female,Barcelona,cat,4,uni,T7_2_4,100,s
33,female,Barcelona,cat,4,uni,T7_2_5,100,s
33,female,Barcelona,cat,4,uni,T7_2_6,100,s
33,female,Barcelona,cat,4,uni,T7_2_7,29,s
33,female,Barcelona,cat,4,uni,T7_2_8,99,s
33,female,Barcelona,cat,4,uni,T7_2_9,100,s
33,female,Barcelona,cat,4,uni,T7_2_10,100,s
33,female,Barcelona,cat,4,uni,T7_2_11,100,s
33,female,Barcelona,cat,4,uni,T8_2_1,77,s
33,female,Barcelona,cat,4,uni,T8_2_2,64,s
33,female,Barcelona,cat,4,uni,T8_2_3,87,s
33,female,Barcelona,cat,4,uni,T8_2_4,100,s
33,female,Barcelona,cat,4,uni,T8_2_5,94,s
33,female,Barcelona,cat,4,uni,T8_2_6,98,s
33,female,Barcelona,cat,4,uni,T8_2_7,92,s
33,female,Barcelona,cat,4,uni,T8_2_8,98,s
33,female,Barcelona,cat,4,uni,T8_2_9,100,s
33,female,Barcelona,cat,4,uni,T8_2_10,97,s
33,female,Barcelona,cat,4,uni,T8_2_11,97,s
33,female,Barcelona,cat,4,uni,T9_2_1,74,s
33,female,Barcelona,cat,4,uni,T9_2_2,57,s
33,female,Barcelona,cat,4,uni,T9_2_3,88,s
33,female,Barcelona,cat,4,uni,T9_2_4,70,s
33,female,Barcelona,cat,4,uni,T9_2_5,70,s
33,female,Barcelona,cat,4,uni,T9_2_6,91,s
33,female,Barcelona,cat,4,uni,T9_2_7,35,s
33,female,Barcelona,cat,4,uni,T9_2_8,100,s
33,female,Barcelona,cat,4,uni,T9_2_9,100,s
33,female,Barcelona,cat,4,uni,T9_2_10,85,s
33,female,Barcelona,cat,4,uni,T9_2_11,85,s
33,female,Barcelona,cat,4,uni,T10_2_1,76,s
33,female,Barcelona,cat,4,uni,T10_2_2,71,s
33,female,Barcelona,cat,4,uni,T10_2_3,100,s
33,female,Barcelona,cat,4,uni,T10_2_4,100,s
33,female,Barcelona,cat,4,uni,T10_2_5,100,s
33,female,Barcelona,cat,4,uni,T10_2_6,99,s
33,female,Barcelona,cat,4,uni,T10_2_7,99,s
33,female,Barcelona,cat,4,uni,T10_2_8,100,s
